SN,Term,Post_Link,Post_Text,Village,TA,Date,Time_Hrs,Other information
4,flooding in nkhotakota,https://web.facebook.com/100010269877918/videos/pcb.2144656672553308/1484507015464763,Serious flooding from Kaombe to Dwambazi in Nkhotakota. People have lost houses and property. Not good. People are struggling right now. People need urgent assistance.,,,28-Feb-24,14:26,
5,flooding in nkhotakota,https://web.facebook.com/photo/?fbid=819406463534451&set=pcb.819406696867761,"#WCMGnews
#SportsUpdate
Several people are  in need of help after being trapped by flooding water in some parts of Nkhotakota district following heavy rains.
Nkhotakota District Council’s Acting Disaster Risk Management Officer George Zibophe, told We Can Media Online that they have sourced boats locally to rescue the victims.
Ziphobe added that many houses have been damaged but the extent of damage is yet to be verified. Some roads have also been damaged including bridges.
Reported by Shaffie A Mtambo - Blantyre",,,28-Feb-24,17:28,
7,flooding in nkhotakota,https://web.facebook.com/photo/?fbid=378788865013777&set=pcb.378788978347099,"Pictorial Focus
Floods in Nkhotakota have damaged a lot of property.
Below are some pictures of the floods.
Our News Platform Mw",,,28-Feb-24,19:21,
8,flooding in nkhotakota,https://web.facebook.com/photo/?fbid=7454451384618835&set=a.416204648443579,We cried for rains after scorching sun burning our crops. Rains have come unfortunately too much for our crops. Nkhotakota in floods,,,28-Feb-24,16:52,
13,flooding in nkhotakota,https://web.facebook.com/photo/?fbid=811104594381803&set=pcb.811105134381749,"Floods hit Nkhotakota and Karonga Floods which have occurred following heavy rains have damaged roads, bridges bridges and houses in Nkhotakota and Karonga. Read more at: https://malawi24.com/.../floods-hit-nkhotakota-and-karonga/",,,28-Feb-24,20:49,
25,flooding in nkhotakota,https://web.facebook.com/photo/?fbid=122213431346001554&set=a.122127946430001554,Nkhotakota 👣 affected by flood's to day 💦,,,28-Feb-24,21:44,
43,https://web.facebook.com/photo/?fbid=2090231771341079&set=pcb.2090229594674630,,"Several people are reportedly in dire need of help after being trapped by flooding water in some parts of Nkhotakota following a heavy downpour.
Nkhotakota District Council’s acting disaster risk management officer George Zibophe has told  Malawi that they have sourced boats locally for a rescue mission.
“Communities around nkhotakota Bua, Dwangwa and Kaombe rivers are the most affected. Many houses have been damaged but no verification has been done due to persistent rainfall and impassable roads,”.
The heavy downpour, which started yesterday in the lakeshore district, has submerged a stretch from Kaombe Bridge to Kaombe road block on the M5 road, rendering it impassable.",,,28-Feb-24,17:36,
48,https://web.facebook.com/creativeimagemw/videos/751233646946437/,,Dwangwa Floods on 28th February 2024.,,,28-Feb-24,17:04,
50,https://web.facebook.com/photo/?fbid=1618727138665464&set=pcb.1618732348664943,,"The majority of Malawians rely on rain-fed agriculture, which makes them to be highly dependent on weather patterns and more vulnerable when the weather patterns are unpredictable. Climate change increasingly exacerbates droughts, flooding and inconsistent rainfall contributing to extreme poverty, and food insecurity. This is not just affecting the livelihood of the communities but also Malawi's economy.
We are just coming from experiencing dry spells. We haven't healed, and now we are experiencing floods🙌💔 #Dwangwa
#UN-OHRLLS
#LockedOut
#ClimateChange
#Malawi",,,28-Feb-24,16:27,
54,https://web.facebook.com/photo/?fbid=3678902479103627&set=pcb.3678903492436859,,Our prayers with the people in Nkhotakota especially those around Dwangwa as floods cause discomfort in the area.,,,28-Feb-24,19:17,
56,https://web.facebook.com/photo/?fbid=947653023720380&set=pcb.947653197053696,,Floods in dwangwa and nkhotakota,,,28-Feb-24,20:27,
57,https://web.facebook.com/photo/?fbid=771525554896691&set=a.257807246268527,,My homeland Dwangwa😭😭 flood,,,28-Feb-24,22:03,
62,https://web.facebook.com/photo/?fbid=122160280610017764&set=pcb.122160281138017764,,"Current situation in Dwangwa  
On going Floods 😭😭🙆🆘",,,28-Feb-24,16:04,
64,https://web.facebook.com/photo/?fbid=24937656745878196&set=pcb.24937665412543996,,Floods in Dwangwa Nkhotakota after heavy rains,,,28-Feb-24,19:40,
65,https://web.facebook.com/photo/?fbid=122159529872026341&set=a.122108127914026341,,Dwangwa in flood,,,28-Feb-24,23:22,
69,https://web.facebook.com/photo/?fbid=10161592800388322&set=a.382777788321,,"Dwangwa, Malawi... flooded.",,,28-Feb-24,17:00,
70,,,Rescue people of dwangwa from heavy rain and flooding,,,28-Feb-24,21:23,
71,,,"Dwangwa Floods
Mvula ikugwabe ma boat a fisheries  ma operator  akukana kulowa ku malo kamba ka muyezo wa madzi  omwe uli mu Dwangwa River so anthu omwe apangidwa trapped  mukachilumba it ,means  alibe no rescue kamba koti panopa mvula ikugwabe.",,,28-Feb-24,20:38,
72,,,"Nthawi yakwana tsopano yoti a malawi tizipanga zinthu mwa dongosolo,kusiana ndikumaonelela zinthu zikupangidwa molakwika pambuyo pake zikavuta tizifuna boma kapena anchifundo atithandize.
Tilipa nkhani ya ma floods a ku dwangwa,,malo omwe anthu akokoloka ndi malo okuti ndikale lonse pamadutsa madzi koma anthu sankamangapo ma nyumba,,chifukwa chosaka makobidi ena anayamba kumangapo,,lelo mvula yabwela tikuti Mulungu achite nafe chifundo kenako tizifuna boma litithandize pakulakwitsa kwathu
Tili pa nkhani yomweyi mtsinje wa dwanga from top to bottom pano unalimidwe minzimbe zomwe zikulepheletsa madzi kuyenda mwaliwilo pamapeto pake madzi akusaka mbali yomwe akuenda momasuka,,azaulimi alikonko koma mphavu zoti aletse kulima mbali mwa mtsinje alibe or anapasidwa chithumba..mapeto ake ma floods 
Izi ndi zobwezeletsa chitukuko cha dziko mmbuyo..akulu ananena kale kuti madzi sayiwala khwawa..koma chifukwa chsaka ndalama anthu akumamanga mukhwawa muja madzi akakumbukila khwawa lawo lija mkumati madzi alakwitsa ??ma flood achilungamo ndipomwe madzi afika koma sankafika osati madzi odutsa pomwe tamanga muntsinje 
Anzathu aboma uthengau ukakufikan chitanipo kanthu nzimbe zichoke muntsinje madzi azienda mwaufulu kupita ku nyanja..zopeweka tiyeni tipewe mwakoma nonse zikomo",,,28-Feb-24,07:57,
73,,,Floods hit Dwangwa,,,28-Feb-24,07:48,
66,,,"#Times360Malawi
The Ministry of Water and Sanitation has warned of impending flooding on major rivers in the Northern Region and lakeshore areas.
A statement signed by Director of Water Resources ,James Chitete, attributes the development to heavy rains and thunderstorms in the region.
According to the statement, the ministry's flood forecasting model has detected possible flooding on North Rukuru, South Rukuru, Hara, 
Nyungwe, Wovwe, Songwe, Kyungu, Lufilya, Limphasa, Nkhula, 
Lipimbi, Dwambazi, Dwangwa, Bua, Luweya, Linthipe and Chirua rivers among others.
""Communities along some of the mentioned rivers are therefore advised to utilise the Community Based 
Flood Early Warning Systems installed to prevent loss of life
caused by floods,"" reads part of the statement.
Reported by Eric Msikiti",,,25-Feb-24,17:36,
67,,,"𝐌𝐈𝐍𝐈𝐒𝐓𝐑𝐘 𝐎𝐅 𝐖𝐀𝐓𝐄𝐑 𝐀𝐍𝐃 𝐒𝐀𝐍𝐈𝐓𝐀𝐓𝐈𝐎𝐍 𝐖𝐀𝐑𝐍𝐒 𝐎𝐍 𝐀 𝐏𝐎𝐒𝐒𝐈𝐁𝐈𝐋𝐈𝐓𝐘 𝐎𝐅 𝐅𝐋𝐎𝐎𝐃𝐈𝐍𝐆 𝐎𝐅 𝐌𝐎𝐒𝐓 𝐑𝐈𝐕𝐄𝐑𝐒 𝐈𝐍 𝐓𝐇𝐄 𝐍𝐎𝐑𝐓𝐇 𝐀𝐍𝐃 𝐂𝐄𝐍𝐓𝐑𝐀𝐋 𝐀𝐑𝐄𝐀𝐒
The Ministry of Water and Sanitation through the Department of Water Resources, has warned the general public that there is a possibility of flooding of most rivers in the Northern and Central areas of Malawi based on the forecast by the Department of Climate Change and Meteorological Services.
It has been announced that that the Congo air mass coupled with the Inter-Tropical Convergence Zone ( ITCZ) will be influencing the weather over central and Northern Malawi thereby causing rains associated with occasional thunderstorms over most areas.
According to a statement signed by J.N. Magwira for: Secretary for Water and Sanitation the rivers include: Songwe, North Rukuru, Kyungu and Lufilya  rivers in Karonga District, Kasitu River and South Rukuru in Rumphi, Bua, Dwangwa, Dwambadzi, Lifyodzi, and Mkhula rivers in Nkhotakota District, Lingadzi, Linthipe, and Lifidzi rivers in Salima District. A number of low lying areas of rivers in lake shore districts of Karonga, Rumphi, Nkhatabay, Nkhotakota and Salima, urban areas of Lilongwe along Lingadzi and Mchesi rivers.
The Ministry has therefore advised the general public to refrain from settling in, cultivating along the said areas during the rain, and crossing the flooded rivers and streams and to be alert when visiting the areas.",,,07-Feb-24,,
32,flooding in nkhotakota,https://web.facebook.com/photo/?fbid=811654184326844&set=pcb.811651747660421,"About 7,000 people displaced by floods in Nkhotakota
The Department of Disaster Management Affairs (DoDMA) says about 7,000  have been displaced by flash floods following heavy downpour in Nkhotakota  and Karonga Districts.
Read more at: https://malawi24.com/.../about-7000-people-displaced-by.../",,,06-Feb-24,19:35,
52,https://web.facebook.com/kenson.kayenda/videos/7377391878971275/,,Dwangwa my home is flooding,,,28-Feb-23,15:40,
20,flooding in nkhotakota,https://web.facebook.com/photo/?fbid=872049044933613&set=pcb.872049201600264,"#ManaNews
Ripple Africa bails out flood survivors in Nkhotakota
Nkhotakota, March 14: Ripple Africa on Wednesday donated assorted relief items to the recent flash flood survivors sheltered in three camps at a non-operational private secondary school at Ngala in the area of Senior Chief Kanyenda in Nkhotakota.
Ripple Africa District Project Coordinator Getrude Odala said being part of a development partner in the district, they felt it was necessary to assist people that have been affected by the recent floods in the district.
She said they have provided food, non-food and sanitary items, including maize flour, cooking oil, sugar, soap and tents all valued at K5 million to ease the stay of the survivors at the camp.
""We have made the donation after our concern with the disaster which has affected people, and we hope that the items will address some of the challenges which are being faced here,"" said Odala.
Acting Distaster and Risk Management Officer for Nkhotakota District Council, George Zibophe, called on well-wishers, companies, and various organisations to continue assisting with urgent needs those that have been affected.
Zibophe said there are plans to fully support the recent flash flood survivors in readiness for decommissioning of the camps.
""We are registering those that have been affected and the government through the Department of Disaster Management Affairs (DoDMA) is planning to distribute relief items to each and every household to assist them when they return to their communities,"" said Zibophe.
Village Headman Semion Kanyenda welcomed the plans by the district council, adding that the donation they have received from Ripple Africa has come at the camp at the right time.
Some of the people at the camp were staying at Matiki and Nyavuwu Primary Schools but have been moved to Ngala, for provision of education to continue in the public education facilities in the district.
Reported by Innocent Chunga",,,,,
